instance,0,v_num,time,1,v_num,time,2,v_num,time,3,v_num,time,4,v_num,time,5,v_num,time,6,v_num,time,7,v_num,time,8,v_num,time,9,v_num,time,best,average,average_time
 dtp_200_400_1.txt,258.772614,79,171.69,258.772614,79,39.375,258.772614,79,12.135,258.772614,79,11.703,258.772614,79,68.397,258.772614,79,58.579,258.772614,79,195.56,258.772614,79,196.205,258.772614,79,8.797,258.772614,79,34.138,258.77,258.77,79.66
 dtp_200_400_2.txt,238.270337,79,3.642,238.270337,79,12.149,238.270337,79,8.911,238.270337,79,25.343,238.270337,79,31.558,238.270337,79,42.342,238.270337,79,14.8,238.270337,79,16.098,238.270337,79,2.09,238.270337,79,1.175,238.27,238.27,15.81
 dtp_200_600_0.txt,121.621201,57,22.854,121.621201,57,76.538,121.621201,57,7.895,121.621201,57,169.039,121.621201,57,38.861,121.621201,57,12.58,121.621201,57,13.5,121.621201,57,1.179,121.621201,57,4.464,121.621201,57,13.274,121.62,121.62,36.02
 dtp_200_600_1.txt,135.081236,57,43.89,135.081236,57,13.403,135.081236,57,48.48,135.081236,57,4.97,135.081236,57,1.431,135.081236,57,28.686,135.081236,57,52.607,135.081236,57,52.991,135.081236,57,10.687,135.081236,57,69.06,135.08,135.08,32.62
 dtp_200_600_2.txt,123.306687,51,15.699,123.306687,51,160.182,123.306687,51,51.892,123.306687,51,18.739,123.306687,51,67.467,123.306687,51,19.648,123.306687,51,34.772,123.306687,51,1.574,123.306687,51,20.272,123.306687,51,162.979,123.31,123.31,55.32
 dtp_300_600_0.txt,348.739822,114,231.982,349.814407,110,122.091,348.102356,109,13.259,348.027344,110,17.718,350.246002,111,107.389,349.168137,110,245.708,348.595033,111,634.044,348.027344,110,67.88,348.027344,110,287.658,348.027344,110,79.64,348.03,348.68,180.74
 dtp_300_600_1.txt,415.674349,117,29.922,414.668108,118,637.533,416.207798,115,92.775,415.203584,117,686.852,414.765306,119,874.284,415.994919,120,950.166,416.208285,117,699.485,414.392319,119,538.27,415.852739,117,505.397,413.93416,120,259.304,413.93,415.29,527.4
 dtp_300_600_2.txt,353.087431,108,61.562,352.729309,107,145.752,352.993775,108,284.608,352.729309,107,538.204,352.920653,110,103.371,353.528609,110,365.674,352.728116,110,682.96,352.729309,107,359.932,352.148207,109,440.435,352.228575,108,356.764,352.15,352.78,333.93
 Range_150/ins_50_1.txt,647.75,7,0.036,647.75,7,0.008,647.75,7,0.004,647.75,7,0.008,647.75,7,0.055,647.75,7,0.009,647.75,7,0.052,647.75,7,0.461,647.75,7,0.113,647.75,7,0.02,647.75,647.75,0.08
 Range_150/ins_50_2.txt,863.69,11,664.639,863.69,11,331.291,863.69,11,85.494,863.69,11,403.241,863.69,11,127.359,863.69,11,4.446,863.69,11,688.055,863.69,11,11.012,863.69,11,23.756,863.69,11,235.567,863.69,863.69,257.49
